Wiki URL,Country,Plant name,Plant name (local script),Unit name,Fuel,Capacity elec. (MW),Status,Technology,CHP,Start year,Retired year,Planned retire,Owner,Parent,Latitude,Longitude,Location accuracy,Region,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Other IDs (location),Other IDs (unit),Other plant names,"Captive [heat, power, both]",Captive industry type,"Captive non-industry use [heat, power, both, none]",GEM location ID,GEM unit ID
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,1-4,NG,390,operating,CC,not found,2010,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405187
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,2-1,NG,390,shelved,CC,not found,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405188
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,2-2,NG,390,shelved,CC,not found,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405189
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,2-3,NG,390,shelved,CC,not found,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405190
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,2-4,NG,390,shelved,CC,not found,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405191
https://www.gem.wiki/CNOOC_Shenzhen_power_plant,China,CNOOC Shenzhen power plant,中海油深圳电厂,1,NG/FO,235,operating,CC,not found,2003,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [100%]",China National Offshore Oil Corporation [100%],22.557412,114.491833,exact,East Asia,Shenzhen,NA,Dapeng,Guangdong,NA,NA,Shenzheng Fuhuade Power Station,NA,NA,NA,L405616,G405214
https://www.gem.wiki/CNOOC_Shenzhen_power_plant,China,CNOOC Shenzhen power plant,中海油深圳电厂,2,NG/FO,360,operating,CC,not found,2005,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [100%]",China National Offshore Oil Corporation [100%],22.557412,114.491833,exact,East Asia,Shenzhen,NA,Dapeng,Guangdong,NA,NA,Shenzheng Fuhuade Power Station,NA,NA,NA,L405616,G405215
https://www.gem.wiki/CNOOC_Shenzhen_power_plant,China,CNOOC Shenzhen power plant,中海油深圳电厂,3,NG,490,proposed,CC,not found,not found,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [100%]",China National Offshore Oil Corporation [100%],22.557412,114.491833,exact,East Asia,Shenzhen,NA,Dapeng,Guangdong,NA,NA,Shenzheng Fuhuade Power Station,NA,NA,NA,L405616,G409723
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,1-1,NG/FO,125,operating,GT,Y,1997,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405207
https://www.gem.wiki/CNOOC_Zhongshan_Jiaming_Gas_power_station,China,CNOOC Zhongshan Jiaming Gas power station,中海油中山嘉明电厂,1-2,NG/FO,125,operating,GT,Y,1998,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Guanzhong Investment Co., Ltd. [22.3%]","China National Offshore Oil Corporation [52.7%]; DEVON INVESTMENT LIMITED [25%]; Zhongshan Xingzhong Group Co., Ltd. [22.3%]",22.569977,113.572525,exact,East Asia,Zhongshan,NA,NA,Guangdong,{'WRI': 'WRI1029821'},NA,Zhongshan Hengmen Power Station,NA,NA,NA,L405617,G405208
