Plant,Chinese Name,Capacity (MW),Status,Year,RETIRED,Planned Retire,Latitude,Longitude,Tracker ID,Annual CO2 (million tonnes / annum),"Subnational unit (province, state)",resource
Datang Lishui Gas Thermal power station,大唐溧水燃机热电厂,100,operating,2021,NA,NA,31.680566,118.999543,G405589,0.1314,Jiangsu,gas
Datang Shaoxing Jiangbin Thermal power station,大唐国际绍兴江滨热电厂,452,operating,2013,NA,NA,30.13162,120.692748,G405733,0.593928,Zhejiang,gas
Datang Shaoxing Jiangbin Thermal power station,大唐国际绍兴江滨热电厂,452,operating,2013,NA,NA,30.13162,120.692748,G405734,0.593928,Zhejiang,gas
Datang Suzhou Gas Thermal power station,大唐苏州燃机热电厂,200,operating,2013,NA,NA,31.037376,120.759901,G405580,0.2628,Jiangsu,gas
Datang Suzhou Gas Thermal power station,大唐苏州燃机热电厂,200,operating,2013,NA,NA,31.037376,120.759901,G405581,0.2628,Jiangsu,gas
Datang Wanning Gas power station,大唐万宁燃气电厂,460,operating,2021,NA,NA,18.913193,110.370316,G405424,0.60444,Hainan,gas
Datang Wanning Gas power station,大唐万宁燃气电厂,460,construction,2021,NA,NA,18.913193,110.370316,G405425,0.60444,Hainan,gas
Dongguan Humen Gas power station,东莞虎门电厂,180,operating,2005,NA,NA,22.815288,113.624786,G405199,0.23652,Guangdong,gas
Dongguan Humen Gas power station,东莞虎门电厂,60,operating,2005,NA,NA,22.815288,113.624786,G405200,0.07884,Guangdong,gas
Dongguan Humen Gas power station,东莞虎门电厂,60,operating,2005,NA,NA,22.815288,113.624786,G405201,0.07884,Guangdong,gas
Dongguan Ningzhou Gas power station,东莞宁洲燃气电厂,700,construction,2023,NA,NA,23.024253,113.596723,G405305,0.9198,Guangdong,gas
Dongguan Ningzhou Gas power station,东莞宁洲燃气电厂,700,construction,2023,NA,NA,23.024253,113.596723,G405306,0.9198,Guangdong,gas
Dongguan Ningzhou Gas power station,东莞宁洲燃气电厂,700,construction,2023,NA,NA,23.024253,113.596723,G405307,0.9198,Guangdong,gas
Dongguan Qishi Natural Gas Distributed power station,东莞企石天然气分布式能源项目,120,proposed,2024,NA,NA,23.048314,114.032086,G405774,0.15768,Guangdong,gas
Dongguan Qishi Natural Gas Distributed power station,东莞企石天然气分布式能源项目,120,proposed,2024,NA,NA,23.048314,114.032086,G405775,0.15768,Guangdong,gas
Dongguan Qishi Natural Gas power station,东莞企石天然气分布式热电厂,120,proposed,2022,NA,NA,23.0480549,114.0633121,G409945,0.15768,Guangdong,gas
Dongguan Qishi Natural Gas power station,东莞企石天然气分布式热电厂,120,proposed,2022,NA,NA,23.0480549,114.0633121,G409944,0.15768,Guangdong,gas
Dongguan Zhongdian New Energy Thermal power station,东莞中电新能源热电厂,180,operating,2006,NA,NA,22.975775,113.828442,G405220,0.23652,Guangdong,gas
Dongguan Zhongdian New Energy Thermal power station,东莞中电新能源热电厂,180,operating,2006,NA,NA,22.975775,113.828442,G405221,0.23652,Guangdong,gas
Dongguan Zhongdian New Energy Thermal power station,东莞中电新能源热电厂,470,operating,2016,NA,NA,22.975775,113.828442,G405222,0.61758,Guangdong,gas
Dongguan Zhongdian New Energy Thermal power station,东莞中电新能源热电厂,470,operating,2016,NA,NA,22.975775,113.828442,G405223,0.61758,Guangdong,gas
Dongguan Zhongming Gas power station,东莞众明燃气发电厂,180,operating,2006,NA,NA,22.972014,113.845928,G405197,0.23652,Guangdong,gas
Dongguan Zhongming Gas power station,东莞众明燃气发电厂,180,operating,2006,NA,NA,22.972014,113.845928,G405198,0.23652,Guangdong,gas
Dongguan Zhongtang Gas Thermal power station,东莞中堂燃气热电厂,460,operating,2021,NA,NA,23.113609,113.66788,G405203,0.60444,Guangdong,gas
Dongguan Zhongtang Gas Thermal power station,东莞中堂燃气热电厂,460,operating,2021,NA,NA,23.113609,113.66788,G405204,0.60444,Guangdong,gas
Dongguan Zhongtang Gas Thermal power station,东莞中堂燃气热电厂,460,operating,2022,NA,NA,23.113609,113.66788,G405826,0.60444,Guangdong,gas
Dongguan Zhongtang Gas Thermal power station,东莞中堂燃气热电厂,460,construction,2022,NA,NA,23.113609,113.66788,G405827,0.60444,Guangdong,gas
East Asia Power Wuxi Gas power station,东亚电力无锡燃气发电厂,400,operating,2018,NA,NA,31.695354,120.465971,G405483,0.5256,Jiangsu,gas
East Asia Power Wuxi Gas power station,东亚电力无锡燃气发电厂,400,operating,2019,NA,NA,31.695354,120.465971,G405484,0.5256,Jiangsu,gas
Foshan Funeng Gas power station,佛山市福能发电厂,180,operating,2003,NA,NA,23.038279,113.04771,G405230,0.23652,Guangdong,gas
Foshan Funeng Gas power station,佛山市福能发电厂,180,operating,2003,NA,NA,23.038279,113.04771,G405231,0.23652,Guangdong,gas
Foshan Longjiang Thermal power station,佛山龙江片区燃气热电厂,76,shelved,2020,NA,NA,22.872816,113.031111,G405235,0.099864,Guangdong,gas
Foshan Longjiang Thermal power station,佛山龙江片区燃气热电厂,76,shelved,2020,NA,NA,22.872816,113.031111,G405236,0.099864,Guangdong,gas
Foshan Longjiang Thermal power station,佛山龙江片区燃气热电厂,76,shelved,2025,NA,NA,22.872816,113.031111,G405237,0.099864,Guangdong,gas
Foshan Xingtan Thermal Gas power station,佛山杏坛片区燃气热电厂,59,shelved,2020,NA,NA,22.747129,113.205012,G405781,0.077526,Guangdong,gas
Foshan Xingtan Thermal Gas power station,佛山杏坛片区燃气热电厂,59,shelved,2020,NA,NA,22.747129,113.205012,G405782,0.077526,Guangdong,gas
Foshan Xingtan Thermal Gas power station,佛山杏坛片区燃气热电厂,59,shelved,2020,NA,NA,22.747129,113.205012,G405783,0.077526,Guangdong,gas
GCL Guangzhou Lantian Gas Thermal power station,广州协鑫蓝天燃气热电站,180,operating,2015,NA,NA,23.212501,113.572592,G405289,0.23652,Guangdong,gas
GCL Guangzhou Lantian Gas Thermal power station,广州协鑫蓝天燃气热电站,180,operating,2015,NA,NA,23.212501,113.572592,G405290,0.23652,Guangdong,gas
GCL Kunshan Lantian Distributed Gas power station,昆山协鑫蓝天天然气分布式能源站,60,operating,2018,NA,NA,31.447321,120.903723,G405547,0.07884,Jiangsu,gas
GCL Kunshan Lantian Distributed Gas power station,昆山协鑫蓝天天然气分布式能源站,60,operating,2018,NA,NA,31.447321,120.903723,G405548,0.07884,Jiangsu,gas
GCL Nanjing Lantian Gas Thermal power station,协鑫南京蓝天燃机热电厂,200,operating,2018,NA,NA,31.881775,118.83744,G405543,0.2628,Jiangsu,gas
GCL Nanjing Lantian Gas Thermal power station,协鑫南京蓝天燃机热电厂,200,operating,2018,NA,NA,31.881775,118.83744,G405544,0.2628,Jiangsu,gas
GCL Qinzhou Zhongma Distributed Gas power station,协鑫钦州中马天然气分布式能源站,75,operating,2021,NA,NA,21.756051,108.668202,G405401,0.09855,Guangxi,gas
