Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year
G109059,L101514,Q200399,https://www.gem.wiki/Shanxi_Yuguang_power_station,China,Shanxi,Shanxi Yuguang power station Unit 3,Shanxi Yuguang power station,山西国际能源奕光发电公司,Shanxi Shanyin power station，昱光（山阴）煤矸石综合利用发电项目二期,"ChinaCoal, Gemeng International","Shanxi International Energy Group (60%), ChinaCoal (40%)",350,operating,2019,NA,NA,supercritical,wstcoal,NA,Beizhouzhuang,Shanyin,Shuozhou,East Asia,39.6158712,112.7989912,exact,2015-4-29,NA,NA,NA,9250,94600,51.00%,1.4,54.9,38,coal,2059,2019
G109060,L101514,Q200399,https://www.gem.wiki/Shanxi_Yuguang_power_station,China,Shanxi,Shanxi Yuguang power station Unit 4,Shanxi Yuguang power station,山西国际能源奕光发电公司,Shanxi Shanyin power station，昱光（山阴）煤矸石综合利用发电项目二期,"ChinaCoal, Gemeng International","Shanxi International Energy Group (60%), ChinaCoal (40%)",350,operating,2019,NA,NA,supercritical,wstcoal,NA,Beizhouzhuang,Shanyin,Shuozhou,East Asia,39.6158712,112.7989912,exact,2015-4-29,NA,NA,NA,9250,94600,51.00%,1.4,54.9,38,coal,2059,2019
G109061,L101515,P101307,https://gem.wiki/Shanxi_Zhaoguang_power_station,China,Shanxi,Shanxi Zhaoguang power station Unit 1,Shanxi Zhaoguang power station,山西国际能源兆光发电厂,NA,Gemeng International,Shanxi International Energy Group,300,operating,2005,NA,NA,subcritical,bituminous,NA,Bailong,Huozhou,Linfen,East Asia,36.5537987,111.6917736,exact,NA,NA,NA,NA,10442,94600,51.00%,1.4,33.5,24,coal,2045,2005
G109062,L101515,P101307,https://gem.wiki/Shanxi_Zhaoguang_power_station,China,Shanxi,Shanxi Zhaoguang power station Unit 2,Shanxi Zhaoguang power station,山西国际能源兆光发电厂,NA,Gemeng International,Shanxi International Energy Group,300,operating,2005,NA,NA,subcritical,bituminous,NA,Bailong,Huozhou,Linfen,East Asia,36.5537987,111.6917736,exact,NA,NA,NA,NA,10442,94600,51.00%,1.4,33.5,24,coal,2045,2005
G109063,L101515,P101307,https://gem.wiki/Shanxi_Zhaoguang_power_station,China,Shanxi,Shanxi Zhaoguang power station Unit 3,Shanxi Zhaoguang power station,山西国际能源兆光发电厂,NA,Gemeng International,Shanxi International Energy Group,600,operating,2009,NA,NA,supercritical,bituminous,NA,Bailong,Huozhou,Linfen,East Asia,36.5537987,111.6917736,exact,NA,NA,NA,NA,9250,94600,51.00%,2.5,69.3,28,coal,2049,2009
G109064,L101515,P101307,https://gem.wiki/Shanxi_Zhaoguang_power_station,China,Shanxi,Shanxi Zhaoguang power station Unit 4,Shanxi Zhaoguang power station,山西国际能源兆光发电厂,NA,Gemeng International,Shanxi International Energy Group,600,operating,2009,NA,NA,supercritical,bituminous,NA,Bailong,Huozhou,Linfen,East Asia,36.5537987,111.6917736,exact,NA,NA,NA,NA,9250,94600,51.00%,2.5,69.3,28,coal,2049,2009
G113309,L100409,P102141,https://www.gem.wiki/Shaoguan_Wastecoal_power_station,China,Guangdong,Shaoguan Wastecoal Power Station Unit 1,Shaoguan Wastecoal power station,国粤韶关综合利用发电厂,广东粤华投资集团韶关电厂,Guangdong Yuehua Power Co,Guangdong Guoyue Investment Group,350,operating,2017,NA,NA,subcritical,wstcoal,NA,Lishi Town,Zhenjiang District,Shaoguan,East Asia,24.945064,113.548835,exact,2015-2,NA,NA,NA,9572,94600,51.00%,1.5,53.8,36,coal,2057,2017
G113310,L100409,P102141,https://www.gem.wiki/Shaoguan_Wastecoal_power_station,China,Guangdong,Shaoguan Wastecoal Power Station Unit 2,Shaoguan Wastecoal power station,国粤韶关综合利用发电厂,广东粤华投资集团韶关电厂,Guangdong Yuehua Power Co,Guangdong Guoyue Investment Group,350,operating,2017,NA,NA,subcritical,wstcoal,NA,Lishi Town,Zhenjiang District,Shaoguan,East Asia,24.945064,113.548835,exact,2015-2,NA,NA,NA,9572,94600,51.00%,1.5,53.8,36,coal,2057,2017
G109067,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 03,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,NA,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,50,retired,1966,2006,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,12618,98300,51.00%,0.3,0,0,coal,2006,1966
G109068,L100410,P100584,https://www.gem.wiki/Guangdong_Shaoguan_power_station,China,Guangdong,Shaoguan-1 No 04,Shaoguan-1 power station,粤电粤江发电公司韶关发电厂,NA,Guangdong Yuejiang Electricity Generation Co,Guangdong Yudean Group,50,retired,1967,2007,NA,subcritical,anth,NA,Wushi Town,Qujiang,Shaoguan,East Asia,24.689167,113.578889,exact,NA,NA,NA,NA,12618,98300,51.00%,0.3,0,0,coal,2007,1967
